               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,            0.041882,            0.036772,                   0,             0.65231,             0.72727,              0.6737,             0.28778,            0.040921,            0.021698,                   0,            0.005941,            0.005941,            0.005941
                  84,            0.040906,            0.030701,                   0,             0.62454,             0.73722,             0.69586,              0.3275,            0.040948,            0.022214,                   0,           0.0058915,           0.0058915,           0.0058915
                  85,            0.042375,            0.032682,                   0,             0.59064,             0.67224,             0.64694,             0.29199,            0.039243,            0.022569,                   0,            0.005842,            0.005842,            0.005842
                  86,            0.038644,            0.034483,                   0,             0.65963,             0.63867,             0.63506,             0.25988,            0.040875,            0.023136,                   0,           0.0057925,           0.0057925,           0.0057925
                  87,            0.040828,            0.036029,                   0,             0.56955,              0.7518,             0.65786,             0.31215,            0.037661,            0.022526,                   0,            0.005743,            0.005743,            0.005743
                  88,            0.040581,            0.031131,                   0,             0.59083,             0.71591,             0.65852,             0.24908,            0.042268,            0.022516,                   0,           0.0056935,           0.0056935,           0.0056935
                  89,            0.040089,            0.032617,                   0,             0.61893,             0.71591,             0.68721,             0.30993,             0.03852,            0.022716,                   0,            0.005644,            0.005644,            0.005644
                  90,            0.040478,            0.031988,                   0,             0.64108,             0.71591,              0.6843,             0.30966,             0.03896,             0.02289,                   0,           0.0055945,           0.0055945,           0.0055945
                  91,            0.037504,            0.030612,                   0,             0.64136,             0.69318,             0.64912,             0.31546,            0.036844,            0.022881,                   0,            0.005545,            0.005545,            0.005545
                  92,            0.040496,            0.034536,                   0,             0.70639,             0.69318,             0.66316,             0.29638,            0.039889,            0.022143,                   0,           0.0054955,           0.0054955,           0.0054955
                  93,            0.040103,            0.034219,                   0,             0.66167,             0.70455,             0.71919,              0.3578,            0.036252,            0.021417,                   0,            0.005446,            0.005446,            0.005446
                  94,            0.038607,            0.032175,                   0,             0.68178,             0.70607,             0.72732,              0.3216,             0.03952,            0.021465,                   0,           0.0053965,           0.0053965,           0.0053965
